epoch000 finished at 06/23/2023, 10:38:41. val_loss: 0.1059
epoch001 finished at 06/23/2023, 10:38:53. val_loss: 0.0634
epoch002 finished at 06/23/2023, 10:39:06. val_loss: 0.0543
epoch003 finished at 06/23/2023, 10:39:18. val_loss: 0.0411
epoch004 finished at 06/23/2023, 10:39:30. val_loss: 0.0422
epoch005 finished at 06/23/2023, 10:39:43. val_loss: 0.0425
epoch006 finished at 06/23/2023, 10:39:55. val_loss: 0.0340
epoch007 finished at 06/23/2023, 10:40:07. val_loss: 0.0380
epoch008 finished at 06/23/2023, 10:40:20. val_loss: 0.0334
epoch009 finished at 06/23/2023, 10:40:32. val_loss: 0.0305
epoch010 finished at 06/23/2023, 10:40:45. val_loss: 0.0299
epoch011 finished at 06/23/2023, 10:40:57. val_loss: 0.0299
epoch012 finished at 06/23/2023, 10:41:10. val_loss: 0.0282
epoch013 finished at 06/23/2023, 10:41:23. val_loss: 0.0290
epoch014 finished at 06/23/2023, 10:41:35. val_loss: 0.0286
epoch015 finished at 06/23/2023, 10:41:48. val_loss: 0.0281
epoch016 finished at 06/23/2023, 10:42:00. val_loss: 0.0270
epoch017 finished at 06/23/2023, 10:42:12. val_loss: 0.0279
epoch018 finished at 06/23/2023, 10:42:25. val_loss: 0.0278
epoch019 finished at 06/23/2023, 10:42:38. val_loss: 0.0268
