epoch000 finished at 08/20/2023, 02:07:54. val_loss: 7.8280
epoch001 finished at 08/20/2023, 02:17:35. val_loss: 6.4522
epoch002 finished at 08/20/2023, 02:27:20. val_loss: 6.2061
epoch003 finished at 08/20/2023, 02:37:05. val_loss: 5.8542
epoch004 finished at 08/20/2023, 02:46:49. val_loss: 5.9225
epoch005 finished at 08/20/2023, 02:56:33. val_loss: 5.4684
epoch006 finished at 08/20/2023, 03:06:18. val_loss: 5.4307
epoch007 finished at 08/20/2023, 03:16:02. val_loss: 5.4976
epoch008 finished at 08/20/2023, 03:25:46. val_loss: 5.0206
epoch009 finished at 08/20/2023, 03:35:30. val_loss: 4.7832
epoch010 finished at 08/20/2023, 03:45:10. val_loss: 4.8966
epoch011 finished at 08/20/2023, 03:54:54. val_loss: 4.8484
epoch012 finished at 08/20/2023, 04:04:35. val_loss: 4.4860
epoch013 finished at 08/20/2023, 04:14:17. val_loss: 4.3890
epoch014 finished at 08/20/2023, 04:23:58. val_loss: 4.8883
epoch015 finished at 08/20/2023, 04:33:39. val_loss: 4.3959
epoch016 finished at 08/20/2023, 04:43:21. val_loss: 4.3568
epoch017 finished at 08/20/2023, 04:53:02. val_loss: 4.4705
epoch018 finished at 08/20/2023, 05:02:43. val_loss: 4.4738
epoch019 finished at 08/20/2023, 05:12:25. val_loss: 4.4907
epoch020 finished at 08/20/2023, 05:22:06. val_loss: 4.4695
epoch021 finished at 08/20/2023, 05:31:47. val_loss: 4.3893
epoch022 finished at 08/20/2023, 05:41:28. val_loss: 4.2800
epoch023 finished at 08/20/2023, 05:51:10. val_loss: 4.1054
epoch024 finished at 08/20/2023, 06:00:51. val_loss: 4.3521
epoch025 finished at 08/20/2023, 06:10:32. val_loss: 4.2640
epoch026 finished at 08/20/2023, 06:20:14. val_loss: 3.8768
epoch027 finished at 08/20/2023, 06:29:55. val_loss: 4.0107
epoch028 finished at 08/20/2023, 06:39:36. val_loss: 4.0915
epoch029 finished at 08/20/2023, 06:49:18. val_loss: 3.8576
epoch030 finished at 08/20/2023, 06:58:59. val_loss: 3.9688
epoch031 finished at 08/20/2023, 07:08:40. val_loss: 3.9341
epoch032 finished at 08/20/2023, 07:18:21. val_loss: 3.8846
epoch033 finished at 08/20/2023, 07:28:03. val_loss: 3.8500
epoch034 finished at 08/20/2023, 07:37:44. val_loss: 3.8830
epoch035 finished at 08/20/2023, 07:47:25. val_loss: 3.8341
epoch036 finished at 08/20/2023, 07:57:07. val_loss: 3.7692
epoch037 finished at 08/20/2023, 08:06:48. val_loss: 3.8470
epoch038 finished at 08/20/2023, 08:16:29. val_loss: 3.9900
epoch039 finished at 08/20/2023, 08:26:10. val_loss: 3.7190
epoch040 finished at 08/20/2023, 08:35:52. val_loss: 3.7062
epoch041 finished at 08/20/2023, 08:45:33. val_loss: 3.5569
epoch042 finished at 08/20/2023, 08:55:14. val_loss: 3.7922
epoch043 finished at 08/20/2023, 09:04:55. val_loss: 4.0155
epoch044 finished at 08/20/2023, 09:14:37. val_loss: 3.5346
epoch045 finished at 08/20/2023, 09:24:18. val_loss: 3.6914
